"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.066486970E-1,-1.454289258E-1,-3.762760460E-1,2.170114517E-1,4.580689964E-1
3.116246870E-1,-2.335473299E-1,-2.802495956E-1,1.002016068E-1,3.783180582E-1
3.166006760E-1,-2.736481130E-1,-1.953912824E-1,-1.463985443E-2,3.365640628E-1
3.215766660E-1,-2.528034449E-1,-1.072394922E-1,-9.460926056E-2,2.904493116E-1
3.265526550E-1,-1.341154277E-1,-1.772433519E-3,-1.638717651E-1,2.117641256E-1
3.315286450E-1,-7.439517975E-2,9.255284816E-2,-2.084999084E-1,2.399435023E-1
3.365046350E-1,-4.913195968E-2,1.097883508E-1,-2.241792679E-1,2.544086783E-1
3.414806240E-1,-3.907909989E-2,1.029453725E-1,-2.066326141E-1,2.341409041E-1
3.464566140E-1,7.985711098E-3,6.756483763E-2,-6.201362610E-2,9.205687746E-2
3.514326030E-1,7.820767164E-2,6.984987110E-2,1.606540680E-1,1.918467460E-1
3.564085930E-1,1.765150428E-1,8.551049232E-2,2.809867859E-1,3.426706560E-1
3.613845820E-1,2.549885511E-1,1.099003255E-1,2.061176300E-1,3.458058996E-1
3.663605720E-1,3.372356594E-1,1.482489258E-1,1.134567261E-1,3.854582502E-1
3.713365620E-1,4.328331351E-1,2.054620683E-1,3.626060486E-2,4.804935128E-1
3.763125510E-1,4.334196448E-1,2.479321212E-1,-6.351566315E-2,5.033459692E-1
3.812885410E-1,3.120889664E-1,2.428620160E-1,-1.950626373E-1,4.409432097E-1
3.862645300E-1,1.737422943E-1,2.615535259E-1,-3.201770782E-1,4.484528885E-1
3.912405200E-1,1.026831269E-1,2.992342710E-1,-4.294862747E-1,5.334261277E-1
3.962165100E-1,8.814728260E-2,3.368027508E-1,-4.664993286E-1,5.820890482E-1
4.011924990E-1,2.515399456E-2,3.602880836E-1,-4.888610840E-1,6.078037397E-1
4.061684890E-1,1.368337870E-2,3.888315558E-1,-4.731302261E-1,6.125597314E-1
4.111444780E-1,5.329459906E-2,4.364598989E-1,-4.103269577E-1,6.014197951E-1
4.161204680E-1,1.248124838E-1,4.270738661E-1,-3.672418594E-1,5.769201215E-1
4.210964570E-1,2.567632198E-1,3.943770528E-1,-3.672962189E-1,5.969649263E-1
4.260724470E-1,3.827921152E-1,3.527800739E-1,-3.579607010E-1,6.317590106E-1
4.310484370E-1,5.226996541E-1,3.021787703E-1,-1.879796982E-1,6.323474556E-1
4.360244260E-1,6.109310389E-1,2.990444899E-1,8.870601654E-2,6.859541519E-1
4.410004160E-1,6.202255487E-1,2.760528028E-1,2.673940659E-1,7.296468102E-1
4.459764050E-1,6.030972600E-1,2.714563906E-1,2.167510986E-1,6.959855715E-1
