"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.036626200E-1,1.380776167E-1,4.413023591E-3,1.260061264E-1,1.869824775E-1
3.086382970E-1,1.462117434E-1,4.209105670E-2,1.379041672E-1,2.053462692E-1
3.136139740E-1,1.683380604E-1,7.872591913E-2,1.449508667E-1,2.356824700E-1
3.185896510E-1,1.756732464E-1,9.543909132E-2,1.661109924E-1,2.599280121E-1
3.235653280E-1,1.544718742E-1,9.233863652E-2,1.823072433E-1,2.561716509E-1
3.285410050E-1,1.335039139E-1,6.499852240E-2,1.417684555E-1,2.052958789E-1
3.335166820E-1,9.860670567E-2,9.335726500E-3,8.777427673E-2,1.323433483E-1
3.384923590E-1,6.432521343E-2,-3.407955170E-3,2.518939972E-2,6.916540392E-2
3.434680360E-1,3.073084354E-2,-3.963603079E-2,-2.232170105E-2,5.489679426E-2
3.484437140E-1,-1.149034500E-2,-4.217413068E-2,-1.069250107E-1,1.155146884E-1
3.534193910E-1,-1.053035259E-2,-3.006243706E-2,-1.667537689E-1,1.697688366E-1
3.583950680E-1,-1.903271675E-2,2.022230625E-2,-1.974563599E-1,1.993995989E-1
3.633707450E-1,-1.808953285E-2,7.985615730E-2,-1.994419098E-1,2.155952514E-1
3.683464220E-1,-3.164350986E-2,1.676136851E-1,-2.391910553E-1,2.937822665E-1
3.733220990E-1,-2.186870575E-2,2.500702739E-1,-3.492431641E-1,4.300978607E-1
3.782977760E-1,-4.083204269E-2,3.226481378E-1,-3.539361954E-1,4.806661075E-1
3.832734530E-1,-3.120672703E-2,3.668023348E-1,-2.027416229E-1,4.202641768E-1
3.882491300E-1,-6.877779961E-3,3.968808055E-1,3.031730652E-3,3.969519732E-1
3.932248070E-1,3.721117973E-3,4.174775481E-1,1.115055084E-1,4.321282545E-1
3.982004840E-1,1.936995983E-2,4.236998856E-1,1.240091324E-1,4.418993701E-1
4.031761610E-1,3.955602646E-2,4.202862680E-1,7.018947601E-2,4.279390013E-1
4.081518390E-1,3.554952145E-2,4.026381969E-1,2.908706665E-3,4.042149758E-1
4.131275160E-1,4.548346996E-2,3.757488132E-1,-4.931354523E-2,3.816906370E-1
4.181031930E-1,4.106509686E-2,3.447056711E-1,-8.671569824E-2,3.578099414E-1
4.230788700E-1,6.046152115E-2,3.050337136E-1,-8.585929871E-2,3.226034425E-1
4.280545470E-1,6.091535091E-2,2.993480861E-1,-7.086849213E-2,3.135957586E-1
4.330302240E-1,5.684566498E-2,2.703086734E-1,-8.448696136E-2,2.888533454E-1
4.380059010E-1,7.181441784E-2,2.464724481E-1,-1.074342728E-1,2.782949896E-1
4.429815780E-1,6.784152985E-2,2.325565517E-1,-1.112222672E-1,2.665622172E-1
4.479572550E-1,6.402742863E-2,2.379054129E-1,-5.819129944E-2,2.531496088E-1
4.529329320E-1,5.105161667E-2,2.527386844E-1,-5.796432495E-3,2.579083341E-1
4.579086090E-1,1.944005489E-2,2.484412193E-1,5.546855927E-2,2.552992680E-1
4.628842860E-1,1.201021671E-2,2.582765818E-1,9.711170197E-2,2.761914565E-1
4.678599640E-1,4.712462425E-3,2.583664060E-1,1.383132935E-1,2.930972094E-1
4.728356410E-1,-2.155411243E-2,2.533862889E-1,1.696395874E-1,3.056906619E-1
4.778113180E-1,-4.764664173E-2,2.244000137E-1,1.580390930E-1,2.785712181E-1
4.827869950E-1,-5.966675282E-2,2.048760951E-1,1.561164856E-1,2.643987383E-1
4.877626720E-1,-8.155548573E-2,1.613755524E-1,1.590471268E-1,2.408097895E-1
4.927383490E-1,-9.421026707E-2,9.888079762E-2,1.667737961E-1,2.155608629E-1
4.977140260E-1,-1.069004536E-1,5.059534311E-2,1.792182922E-1,2.147249217E-1
5.026897030E-1,-9.592652321E-2,4.479902983E-2,1.678943634E-1,1.984877029E-1
5.076653800E-1,-1.516405344E-1,-2.313604951E-2,9.985637665E-2,1.830339433E-1
5.126410570E-1,-1.642544270E-1,-6.699022651E-2,5.622863770E-2,1.860883310E-1
5.176167340E-1,-1.861492395E-1,-9.152661264E-2,3.673267365E-2,2.106607451E-1
5.225924110E-1,-2.075489759E-1,-8.261556923E-2,-2.528476715E-2,2.248137655E-1
5.275680890E-1,-2.001130581E-1,-5.938063562E-2,-5.828380585E-2,2.167217062E-1
5.325437660E-1,-1.929308176E-1,-2.679288387E-2,-6.724262238E-2,2.060624402E-1
5.375194430E-1,-1.671725512E-1,8.112192154E-4,-4.939079285E-3,1.672474647E-1
5.424951200E-1,-1.324944496E-1,3.271463513E-2,5.208206177E-2,1.460738433E-1
5.474707970E-1,-9.830737114E-2,5.485558510E-2,6.590080261E-2,1.304468866E-1
5.524464740E-1,-8.322072029E-2,6.258276105E-2,4.161930084E-2,1.121358839E-1
5.574221510E-1,-4.889273643E-2,7.035931945E-2,8.020401001E-3,8.605382235E-2
5.623978280E-1,-4.304456711E-2,6.879171729E-2,-1.582717896E-2,8.267789740E-2
5.673735050E-1,-2.260613441E-2,8.173626661E-2,-2.528285980E-2,8.849337598E-2
5.723491820E-1,-2.608072758E-2,9.947216511E-2,-3.466129303E-2,1.085187597E-1
5.773248590E-1,-1.539027691E-2,1.029744148E-1,-3.446006775E-2,1.096726356E-1
5.823005360E-1,-2.388370037E-2,1.350369155E-1,-2.001476288E-2,1.385856790E-1
